model,iter,P,R,F1
GPT-4o,0,0.8978723404255319,0.9590909090909091,0.9274725274725275
GPT-4o,1,0.8464912280701754,0.8935185185185185,0.8693693693693693
GPT-4o,2,0.8623853211009175,0.8952380952380953,0.8785046728971964
GPT-4o,3,0.8440366972477065,0.8932038834951457,0.8679245283018868
GPT-4o,4,0.8666666666666667,0.9162995594713657,0.8907922912205567
GPT-4o,5,0.8444444444444444,0.926829268292683,0.8837209302325582
GPT-4o,6,0.8542713567839196,0.8994708994708994,0.8762886597938144
GPT-4o,7,0.8761061946902655,0.9041095890410958,0.8898876404494382
GPT-4o,8,0.8642533936651584,0.9227053140096618,0.8925233644859814
GPT-4o,9,0.8318181818181818,0.9481865284974094,0.8861985472154963
GPT-4o,10,0.8862559241706162,0.9540816326530612,0.918918918918919
GPT-4o,11,0.8146551724137931,0.9642857142857143,0.883177570093458
GPT-4o,12,0.8266666666666667,0.8611111111111112,0.8435374149659863
GPT-4o,13,0.803347280334728,0.9458128078817734,0.8687782805429863
GPT-4o,14,0.8166666666666667,0.92018779342723,0.8653421633554083
GPT-4o,15,0.8382978723404255,0.8954545454545455,0.865934065934066
GPT-4o,16,0.8043478260869565,0.8980582524271845,0.8486238532110092
GPT-4o,17,0.826271186440678,0.9241706161137441,0.8724832214765101
GPT-4o,18,0.8391304347826087,0.8539823008849557,0.8464912280701755
GPT-4o,19,0.8590308370044053,0.9069767441860465,0.8823529411764706
GPT-4o,20,0.875,0.8362831858407079,0.8552036199095022
GPT-4o,21,0.815668202764977,0.9315789473684211,0.8697788697788699
GPT-4o,22,0.9041095890410958,0.9295774647887324,0.9166666666666666
GPT-4o,23,0.8654708520179372,0.9018691588785047,0.8832951945080092
GPT-4o,24,0.8227272727272728,0.9427083333333334,0.8786407766990291
GPT-4o,25,0.9086538461538461,0.9130434782608695,0.9108433734939758
GPT-4o,26,0.8660287081339713,0.905,0.8850855745721271
GPT-4o,27,0.8024691358024691,0.9420289855072463,0.8666666666666666
GPT-4o,28,0.8434782608695652,0.9326923076923077,0.8858447488584474
GPT-4o,29,0.7990867579908676,0.8838383838383839,0.8393285371702638
GPT-4o,30,0.9066666666666666,0.9066666666666666,0.9066666666666666
GPT-4o,31,0.8733031674208145,0.9146919431279621,0.8935185185185185
GPT-4o,32,0.8475336322869955,0.8957345971563981,0.8709677419354839
GPT-4o,33,0.8425925925925926,0.883495145631068,0.8625592417061612
GPT-4o,34,0.8381742738589212,0.8977777777777778,0.8669527896995708
GPT-4o,35,0.852017937219731,0.9405940594059405,0.8941176470588236
GPT-4o,36,0.863849765258216,0.9019607843137255,0.8824940047961631
GPT-4o,37,0.8356807511737089,0.8855721393034826,0.859903381642512
GPT-4o,38,0.8796296296296297,0.892018779342723,0.8857808857808857
GPT-4o,39,0.8225108225108225,0.9178743961352657,0.867579908675799
GPT-4o,40,0.8660714285714286,0.9326923076923077,0.8981481481481481
GPT-4o,41,0.8486238532110092,0.8894230769230769,0.8685446009389671
GPT-4o,42,0.8851063829787233,0.9327354260089686,0.9082969432314411
GPT-4o,43,0.8675213675213675,0.8982300884955752,0.8826086956521739
GPT-4o,44,0.8678414096916299,0.9425837320574163,0.9036697247706422
GPT-4o,45,0.8591549295774648,0.953125,0.9037037037037037
