chunk_id,article_filename,word_count,backend,model,claim,grounds,warrant,bucket,parse_error,raw_response_excerpt
0,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,971,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
1,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,976,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
2,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,989,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
3,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,978,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
4,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,998,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
5,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,918,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
6,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,860,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
7,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,965,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
8,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,979,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
9,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,995,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
10,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,971,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
11,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,992,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
12,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,939,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
13,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,984,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
14,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,834,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
