chunk_id,article_filename,word_count,backend,model,claim,grounds,warrant,bucket,parse_error,raw_response_excerpt,mnli_entailment_prob,mnli_entailment_pass
1,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,976,openai,gpt-4o,The impact of higher education expansion on marriage rates among rural origin female graduates remains unclear.,this finding might not generalise to rural origin female graduates who were exposed to stronger gendered social norms,"The text suggests that while urban origin females benefit from higher education in terms of marriage rates, the same may not apply to rural origin females due to differing social norms, indicating a gap in understanding their specific outcomes.",more_probable,,"{""claim"":""The impact of higher education expansion on marriage rates among rural origin female graduates remains unclear."",""grounds"":""this finding might not generalise to rural origin female graduates who were exposed to stronger gendered social norms"",""warrant"":""The text suggests that while urban origin females benefit from higher education in terms of marriage rates, the same may not apply to rural origin females due to differing social norms, indicating a gap in understanding their specific outcomes."",""bucket"":""more_probable""}",0.8645240068435669,True
2,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,989,openai,gpt-4o,The impact of the hukou system on educational assortative mating in China is not well understood.,The hukou (household registration) system...is the key institutional feature underpinning China’s urban-rural divide.,"While the text discusses educational assortative mating trends in China, it does not address how the hukou system, a significant institutional factor, influences these trends.",more_probable,,"{""claim"":""The impact of the hukou system on educational assortative mating in China is not well understood."",""grounds"":""The hukou (household registration) system...is the key institutional feature underpinning China’s urban-rural divide."",""warrant"":""While the text discusses educational assortative mating trends in China, it does not address how the hukou system, a significant institutional factor, influences these trends."",""bucket"":""more_probable""}",0.6782600283622742,True
4,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,998,openai,gpt-4o,The long-term effects of the HE expansion on educational assortative mating patterns beyond the observed cohorts are unknown.,the massive HE expansion started in 1999...there is a clear downward trend in the spousal educational gap...the pace of transition is very slow,The text discusses changes in educational assortative mating patterns due to HE expansion but does not address whether these trends will continue or stabilize in future cohorts.,more_probable,,"{""claim"":""The long-term effects of the HE expansion on educational assortative mating patterns beyond the observed cohorts are unknown."",""grounds"":""the massive HE expansion started in 1999...there is a clear downward trend in the spousal educational gap...the pace of transition is very slow"",""warrant"":""The text discusses changes in educational assortative mating patterns due to HE expansion but does not address whether these trends will continue or stabilize in future cohorts."",""bucket"":""more_probable""}",0.9034211039543152,True
6,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,860,openai,gpt-4o,The differential impact of HE expansion on rural students' educational attainment remains unclear.,"there is only a visible jump for urban students in years of schooling around the HE expansion cut-off, of about 0.5 years. For rural students, there appears to be no discontinuity","The text highlights a lack of observable change in educational attainment for rural students post-HE expansion, suggesting an unexplored area of differential impact.",more_probable,,"{""claim"":""The differential impact of HE expansion on rural students' educational attainment remains unclear."",""grounds"":""there is only a visible jump for urban students in years of schooling around the HE expansion cut-off, of about 0.5 years. For rural students, there appears to be no discontinuity"",""warrant"":""The text highlights a lack of observable change in educational attainment for rural students post-HE expansion, suggesting an unexplored area of differential impact."",""bucket"":""more_probable""}",0.93988835811615,True
7,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,965,openai,gpt-4o,The specific mechanisms by which education affects marriage market outcomes remain unclear.,"The LPM marginal effects of women ’ s education on both being married and ever married are virtually identical, implying that each year ’ s increase in education reduces the probability of being married or ever married by 1.1 percentage points. However, this is overturned once we account for endogeneity of education using 2SLS.","The text highlights a discrepancy between LPM and 2SLS results, suggesting that while endogeneity is addressed, the underlying causal pathways of education's impact on marriage are not fully elucidated.",more_probable,,"{""claim"":""The specific mechanisms by which education affects marriage market outcomes remain unclear."",""grounds"":""The LPM marginal effects of women ’ s education on both being married and ever married are virtually identical, implying that each year ’ s increase in education reduces the probability of being married or ever married by 1.1 percentage points. However, this is overturned once we account for endogeneity of education using 2SLS."",""warrant"":""The text highlights a discrepancy between LPM and 2SLS results, suggesting that while endogeneity is addressed, the underlying causal pathways of education's impact on marriage are not fully elucidated."",""bucket"":""more_probable""}",0.6975162029266357,True
8,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,979,openai,gpt-4o,The causal mechanisms by which education influences marriage outcomes across different geographical regions and residence types remain unclear.,"the heterogeneous effect of education on the probability of being currently married, by geographical region and type of residence area","While the text identifies variation in the effect of education on marriage by region and residence type, it does not specify the underlying causal mechanisms driving these differences.",more_probable,,"{""claim"":""The causal mechanisms by which education influences marriage outcomes across different geographical regions and residence types remain unclear."",""grounds"":""the heterogeneous effect of education on the probability of being currently married, by geographical region and type of residence area"",""warrant"":""While the text identifies variation in the effect of education on marriage by region and residence type, it does not specify the underlying causal mechanisms driving these differences."",""bucket"":""more_probable""}",0.9333434104919434,True
9,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,995,openai,gpt-4o,The impact of the one-child policy on educational outcomes and marriage incidence remains unclear due to potential confounding with sex ratio changes.,"critical birth cohort cut-off for HE expansion might coincides with the implementation of the one-child policy starting from 1978 – 1980, which leads to large increases in the sex ratio over time","The text suggests a temporal overlap between policy implementation and demographic changes, but does not disentangle their separate effects on education and marriage outcomes.",more_probable,,"{""claim"":""The impact of the one-child policy on educational outcomes and marriage incidence remains unclear due to potential confounding with sex ratio changes."",""grounds"":""critical birth cohort cut-off for HE expansion might coincides with the implementation of the one-child policy starting from 1978 – 1980, which leads to large increases in the sex ratio over time"",""warrant"":""The text suggests a temporal overlap between policy implementation and demographic changes, but does not disentangle their separate effects on education and marriage outcomes."",""bucket"":""more_probable""}",0.8432003259658813,True
10,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,971,openai,gpt-4o,The impact of heterogeneous exposure to higher education expansion on marriage market outcomes beyond education attainment is unclear.,the interaction effects of childhood hukou status and the HE expansion have no direct effect on marriage market outcomes over and above their impact through the education attainment,"The text suggests that the assumption of no direct effects beyond education attainment is critical, yet it acknowledges potential complexities in labeling all Chinese millennials as 'treated,' indicating a gap in understanding these broader impacts.",more_probable,,"{""claim"":""The impact of heterogeneous exposure to higher education expansion on marriage market outcomes beyond education attainment is unclear."",""grounds"":""the interaction effects of childhood hukou status and the HE expansion have no direct effect on marriage market outcomes over and above their impact through the education attainment"",""warrant"":""The text suggests that the assumption of no direct effects beyond education attainment is critical, yet it acknowledges potential complexities in labeling all Chinese millennials as 'treated,' indicating a gap in understanding these broader impacts."",""bucket"":""more_probable""}",0.6806941628456116,True
11,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,992,openai,gpt-4o,The impact of higher education expansion on marriage patterns in regions with strong traditional gender norms is not fully understood.,our own heterogeneous effect analysis showing the positive causal effect of HE on marriage is more pronounced in bigger cities and in coastal regions where traditional gender norms are expected to be weaker,"The text suggests that the effects of higher education on marriage are context-dependent, particularly influenced by the strength of traditional gender norms, yet it does not explore regions with strong norms in detail.",more_probable,,"{""claim"":""The impact of higher education expansion on marriage patterns in regions with strong traditional gender norms is not fully understood."",""grounds"":""our own heterogeneous effect analysis showing the positive causal effect of HE on marriage is more pronounced in bigger cities and in coastal regions where traditional gender norms are expected to be weaker"",""warrant"":""The text suggests that the effects of higher education on marriage are context-dependent, particularly influenced by the strength of traditional gender norms, yet it does not explore regions with strong norms in detail."",""bucket"":""more_probable""}",0.68525230884552,True
13,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,984,openai,gpt-4o,The impact of educational attainment on marriage outcomes across different birth cohorts is not fully understood.,Key marriage characteristics by wife ’ s birth cohort bands. Birth cohorts Pre-expansion Post-expansion Overall,"The data presents marriage characteristics by birth cohort but does not explicitly analyze how educational attainment influences marriage outcomes across these cohorts, leaving a gap in understanding cohort-specific effects.",more_probable,,"{""claim"":""The impact of educational attainment on marriage outcomes across different birth cohorts is not fully understood."",""grounds"":""Key marriage characteristics by wife ’ s birth cohort bands. Birth cohorts Pre-expansion Post-expansion Overall"",""warrant"":""The data presents marriage characteristics by birth cohort but does not explicitly analyze how educational attainment influences marriage outcomes across these cohorts, leaving a gap in understanding cohort-specific effects."",""bucket"":""more_probable""}",0.9801343083381652,True
